[besr_adm@rel14620cor001 root]$ source_control -l ALL
huawei_enodeb:rel14620ran008-bsr2:3     generic_ctr_avro_0            1350 sec       pag       ACTIVE
huawei_enodeb:rel14620ran008-bsr2:4     generic_ctr_avro_1            1441 sec       pag       ACTIVE
huawei_enodeb:rel14620ran009-bsr2:0     generic_ctr_avro_2            1542 sec       pag       ACTIVE
huawei_enodeb:rel14620ran009-bsr2:1     generic_ctr_avro_3            1452 sec       pag       ACTIVE
huawei_enodeb:rel14620ran009-bsr2:2     generic_ctr_avro_4            1319 sec       pag       ACTIVE
huawei_enodeb:rel14620ran009-bsr2:3     generic_ctr_avro_5            1292 sec       pag       ACTIVE
huawei_enodeb:rel14620ran010-bsr2:0     generic_ctr_avro_6            1429 sec       pag       ACTIVE
huawei_enodeb:rel14620ran010-bsr2:1     generic_ctr_avro_7            1227 sec       pag       ACTIVE
huawei_enodeb:rel14620ran010-bsr2:2     generic_ctr_avro_0            1349 sec       pag       ACTIVE
huawei_enodeb:rel14620ran010-bsr2:3     generic_ctr_avro_1            1433 sec       pag       ACTIVE
huawei_enodeb:rel14620ran011-bsr2:0     generic_ctr_avro_2            1542 sec       pag       ACTIVE
huawei_enodeb:rel14620ran011-bsr2:1     generic_ctr_avro_3            1449 sec       pag       ACTIVE
huawei_enodeb:rel14620ran011-bsr2:2     generic_ctr_avro_4            1321 sec       pag       ACTIVE
huawei_enodeb:rel14620ran011-bsr2:3     generic_ctr_avro_5            1295 sec       pag       ACTIVE
huawei_enodeb:rel14620ran012-bsr2:0     generic_ctr_avro_6            1428 sec       pag       ACTIVE
huawei_enodeb:rel14620ran012-bsr2:1     generic_ctr_avro_7            1225 sec       pag       ACTIVE
huawei_enodeb:rel14620ran012-bsr2:2     generic_ctr_avro_0            1343 sec       pag       ACTIVE
huawei_enodeb:rel14620ran013-bsr2:0     generic_ctr_avro_1            1437 sec       pag       ACTIVE
huawei_enodeb:rel14620ran013-bsr2:1     generic_ctr_avro_2            1545 sec       pag       ACTIVE
huawei_enodeb:rel14620ran013-bsr2:2     generic_ctr_avro_3            1453 sec       pag       ACTIVE
huawei_enodeb:rel14620ran013-bsr2:3     generic_ctr_avro_4            1320 sec       pag       ACTIVE
huawei_enodeb:rel14620ran014-bsr2:0     generic_ctr_avro_5            1273 sec       pag       ACTIVE
huawei_enodeb:rel14620ran014-bsr2:1     generic_ctr_avro_6            1430 sec       pag       ACTIVE
huawei_enodeb:rel14620ran014-bsr2:2     generic_ctr_avro_7            1170 sec       pag       ACTIVE
huawei_enodeb:rel14620ran014-bsr2:3     generic_ctr_avro_0            1347 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:0     generic_ctr_avro_1            1432 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:1     generic_ctr_avro_2            1536 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:2     generic_ctr_avro_3            1452 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:3     generic_ctr_avro_4            1324 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:4     generic_ctr_avro_5            1297 sec       pag       ACTIVE
huawei_enodeb:rel14620ran015-bsr2:5     generic_ctr_avro_6            1430 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:0     generic_ctr_avro_7            1251 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:1     generic_ctr_avro_0            1342 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:2     generic_ctr_avro_1            1424 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:3     generic_ctr_avro_2            1531 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:4     generic_ctr_avro_3            1458 sec       pag       ACTIVE
huawei_enodeb:rel14620ran016-bsr2:5     generic_ctr_avro_4            1320 sec       pag       ACTIVE
ims:eeaims002cro:0                      ims_0                         130 sec        pag       ACTIVE
ims:eeaims002ltn:0                      ims_1                         166 sec        pag       ACTIVE
ims:eeaims002mfd:0                      ims_2                         223 sec        pag       ACTIVE
ims:eeaims002wvn:0                      ims_3                         381 sec        pag       ACTIVE
iq:eeaims002cro:0                       megaco_0                      252 sec        pag       ACTIVE
iq:eeaims002ltn:0                       megaco_1                      0 sec          pag       ACTIVE
iq:eeaims002mfd:0                       megaco_2                      0 sec          pag       ACTIVE
iq:eeaims002wvn:0                       megaco_3                      243 sec        pag       ACTIVE
nokia_enodeb:eeaadp001cro-bsr:0         generic_ctr_avro_0            1329 sec       pag       ACTIVE
nokia_enodeb:eeaadp001cro-bsr:1         generic_ctr_avro_1            1446 sec       pag       ACTIVE
nokia_enodeb:eeaadp001mfd-bsr:0         generic_ctr_avro_4            1321 sec       pag       ACTIVE
nokia_enodeb:eeaadp001mfd-bsr:1         generic_ctr_avro_5            1287 sec       pag       ACTIVE
nokia_enodeb:eeaadp002cro-bsr:0         generic_ctr_avro_2            1558 sec       pag       ACTIVE
nokia_enodeb:eeaadp002cro-bsr:1         generic_ctr_avro_3            1478 sec       pag       ACTIVE
nokia_enodeb:eeaadp002mfd-bsr:0         generic_ctr_avro_6            1419 sec       pag       ACTIVE
nsa:rel14620xdr001:0                    generic_kpi_0                 923 sec        pag       ACTIVE
nsgxy:rel14620xdr001:0                  generic_kpi_1                 927 sec        pag       ACTIVE
nsiucs:rel14620xdr001:0                 generic_kpi_2                 922 sec        pag       ACTIVE
nssms:rel14620xdr001:0                  generic_kpi_3                 925 sec        pag       ACTIVE
perf:eeaims001bkt:0                     uplane_perf_0                 969 sec        pag       ACTIVE
perf:eeaims001lds:0                     uplane_perf_1                 869 sec        pag       ACTIVE
perf:eeaims002bkt:0                     uplane_perf_1                 839 sec        pag       ACTIVE
perf:eeaims002lds:0                     uplane_perf_2                 1072 sec       pag       ACTIVE
perf:eeaims003bkt:0                     uplane_perf_2                 1021 sec       pag       ACTIVE
perf:eeaims003cro:0                     uplane_perf_1                 878 sec        pag       ACTIVE
perf:eeaims003lds:0                     uplane_perf_3                 1089 sec       pag       ACTIVE
perf:eeaims003ltn:0                     uplane_perf_2                 1074 sec       pag       ACTIVE
perf:eeaims003mfd:0                     uplane_perf_3                 1104 sec       pag       ACTIVE
perf:eeaims003wvn:0                     uplane_perf_4                 986 sec        pag       ACTIVE
perf:eeaims004bkt:0                     uplane_perf_3                 1057 sec       pag       ACTIVE
perf:eeaims004cro:0                     uplane_perf_2                 1085 sec       pag       ACTIVE
perf:eeaims004lds:0                     uplane_perf_4                 976 sec        pag       ACTIVE
perf:eeaims004ltn:0                     uplane_perf_3                 1096 sec       pag       ACTIVE
perf:eeaims004mfd:0                     uplane_perf_4                 991 sec        pag       ACTIVE
perf:eeaims004wvn:0                     uplane_perf_5                 1112 sec       pag       ACTIVE
perf:eeaims005bkt:0                     uplane_perf_4                 937 sec        pag       ACTIVE
perf:eeaims005lds:0                     uplane_perf_5                 1107 sec       pag       ACTIVE
perf:eeaims005ltn:0                     uplane_perf_4                 978 sec        pag       ACTIVE
perf:eeaims005mfd:0                     uplane_perf_5                 1104 sec       pag       ACTIVE
perf:eeaims005wvn:0                     uplane_perf_6                 1162 sec       pag       ACTIVE
perf:eeaims006bkt:0                     uplane_perf_5                 1076 sec       pag       ACTIVE
perf:eeaims006cro:0                     uplane_perf_3                 1112 sec       pag       ACTIVE
perf:eeaims006lds:0                     uplane_perf_6                 1166 sec       pag       ACTIVE
perf:eeaims006ltn:0                     uplane_perf_5                 1100 sec       pag       ACTIVE
perf:eeaims006mfd:0                     uplane_perf_6                 1161 sec       pag       ACTIVE
perf:eeaims006wvn:0                     uplane_perf_7                 920 sec        pag       ACTIVE
perf:eeaims007bkt:0                     uplane_perf_6                 1131 sec       pag       ACTIVE
perf:eeaims007cro:0                     uplane_perf_4                 1002 sec       pag       ACTIVE
perf:eeaims007lds:0                     uplane_perf_7                 928 sec        pag       ACTIVE
perf:eeaims007ltn:0                     uplane_perf_6                 1168 sec       pag       ACTIVE
